"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Campania","Liguria","Toscana"
"90",2020-11-12,2139.80337188446,271.431966944282,220.909250421949,81.7176893658669,127.261278709382,153.258717800761,78.5806101108428,133.5955485742
"91",2020-11-13,2192.52576245693,274.422698617966,223.860101864769,82.9052786293945,131.762043819575,159.481456230756,79.0732679144594,138.260260792704
"92",2020-11-14,2245.78911578408,277.373642966352,226.78993063733,84.0872939704583,136.405644703503,165.930839173954,79.5477525424136,143.053177058876
"93",2020-11-15,2299.5809521138,280.284575087364,229.698119296392,85.2634451989978,141.196041548119,172.614075700538,80.0046148715208,147.976631858208
"94",2020-11-16,2353.88856428898,283.155311511613,232.584081618029,86.4334526312414,146.137286109905,179.538566047418,80.44439928187,153.032967983607
"95",2020-11-17,2408.69903196745,285.985708613573,235.447262164335,87.5970470553683,151.233523312472,186.711905442063,80.8676427243806,158.224535673063
"96",2020-11-18,2463.9992358216,288.775661032792,238.287135819809,88.7539696826832,156.488992858868,194.141887966667,81.2748739047687,163.553691734955
"97",2020-11-19,2519.77587169456,291.52510010855,241.103207300043,89.9039720851079,161.908030858402,201.836510462117,81.6666125752796,169.022798661607
"98",2020-11-20,2576.01546469089,294.233992331015,243.895010635205,91.0468161197912,167.495071467802,209.80397647118,82.0433689259275,174.634223731718
"99",2020-11-21,2632.70438318041,296.902337811726,246.662108630758,92.1822738416184,173.25464854653,218.052700220295,82.4056430673813,180.390338102297
"100",2020-11-22,2689.82885269514,299.530168775919,249.404092307744,93.3101274043903,179.19139732603,226.591310639355,82.7539245980374,186.29351589076
"101",2020-11-23,2747.37496969966,302.117548078971,252.120580324877,94.4301689514234,185.310056092723,235.428655418786,83.0886922482222,192.346133247827
"102",2020-11-24,2805.32871521668,304.664567749009,254.8112183846,95.5422004963086,191.61546788452,244.573805103243,83.4104135948715,198.550567421901
"103",2020-11-25,2863.67596829031,307.171347557465,257.475678625161,96.6460337945425,198.112582200628,254.036057221184,83.7195448404259,204.909195815583
"104",2020-11-26,2922.40251927049,309.638033619178,260.113659000683,97.7414902067294,204.806456724418,263.824940449579,84.0165306500711,211.424395035018
"105",2020-11-27,2981.49408290295,312.064797023398,262.724882651092,98.8284005540325,211.702259059118,273.950218812943,84.3018040418262,218.09853993274
"106",2020-11-28,3040.93631121027,314.451832496894,265.309097263694,99.9066049665263,218.805268476063,284.42189591589,84.5757863243497,224.934002644726
"107",2020-11-29,3100.71480615018,316.799357100146,267.866074428092,100.97595272509,226.120877675262,295.250219208355,84.838887077682,231.933151622326
"108",2020-11-30,3160.81513203846,319.107608957467,270.395608986044,102.036302097448,233.654594558,306.445684282588,85.0915041724827,239.098350659804
"109",2020-12-01,3221.22282772465,321.376846021705,272.897518377778,103.087520168958,241.41204401121,318.019039201032,85.3340238236388,246.431957918153
"110",2020-12-02,3281.92341850962,323.607344874066,275.371641986204,104.129482668699,249.398969703307,329.981288854116,85.5668206744321,253.936324945918
"111",2020-12-03,3342.90242779506,325.799399559418,277.817840480341,105.162073791425,257.621235891229,342.343699347007,85.7902579077384,261.613795697712
"112",2020-12-04,3404.14538845574,327.953320457352,280.23599515926,106.185186015887,266.084829238334,355.11780241431,86.0046873810133,269.46670555115
"113",2020-12-05,3465.63785392632,330.069433189117,282.626007297691,107.198719920042,274.795860642886,368.315399861676,86.2104497820737,277.497380322876
"114",2020-12-06,3527.36540899529,332.148077560472,284.987797494416,108.202583993613,283.760567076783,381.948568033265,86.4078748029328,285.70813528443
"115",2020-12-07,3589.31368029951,334.18960654037,287.321305024475,109.196694448465,292.985313434203,396.029662303947,86.5972813291738,294.101274178612
"116",2020-12-08,3651.46834651352,336.19438527532,289.626487196143,110.180975027229,302.476594389842,410.571321595142,86.7789776425649,302.679088237079
"117",2020-12-09,3713.81514822867,338.162790139173,291.90331871355,111.155356810581,312.241036266387,425.586472913114,86.9532616348179,311.443855199853
"118",2020-12-10,3776.33989751781,340.095207818013,294.151791045776,112.119778023578,322.285398910878,441.088335908549,87.1204210305823,320.397838337439
"119",2020-12-11,3839.02848718208,341.99203442976,296.371911803171,113.074183841411,332.616577579584,457.090427456205,87.2807336179411,329.543285476236
"120",2020-12-12,3901.86689967692,343.853674678036,298.563704121572,114.018526194926,343.241604831048,473.606566253367,87.4344674848368,338.882428027935
"121",2020-12-13,3964.84121571532,345.68054103978,300.727206055064,114.952763576255,354.167652426886,490.650877435856,87.5818812600102,348.417480023563
"122",2020-12-14,4027.93762254666,347.473052986065,302.862469977848,115.876860844846,365.402033239989,508.23779721028,87.7232243571697,358.150637152864
"123",2020-12-15,4091.14242191051,349.23163623551,304.969561995721,116.790789034205,376.952203169707,526.382077501179,87.858737221243,368.084075809656
"124",2020-12-16,4154.44203766496,350.956722039656,307.048561367646,117.694525159599,388.825763063618,545.098790611726,87.9886515756804,378.219952143844
"125",2020-12-17,4217.82302309002,352.64874649963,309.099559937804,118.588052027003,401.030460645485,564.403333896596,88.1131906698891,388.560401120706
"126",2020-12-18,4281.27206786674,354.308149913412,311.122661578515,119.4713580435,413.574192448952,584.311434445553,88.23256952598,399.107535588116
"127",2020-12-19,4344.77600473373,355.935376152965,313.11798164432,120.344437029373,426.465005756578,604.839153776355,88.3469951841021,409.863445352309
"128",2020-12-20,4408.32181582266,357.530872070513,315.085646437515,121.207288032085,439.711100543763,626.002892535482,88.4566669457233,420.830196262813
"129",2020-12-21,4471.89663867543,359.095086933183,317.025792685373,122.059915142334,453.32083142712,647.819395205188,88.5617766142976,432.009829307155
"130",2020-12-22,4535.48777194553,360.628471885273,318.938567029231,122.902327312368,467.302709616842,670.305754815373,88.6625087328268,443.40435971593
"131",2020-12-23,4599.08268078698,362.131479437337,320.824125525626,123.734538176699,481.665404872616,693.479417658712,88.759040817894,455.015776078809
"132",2020-12-24,4662.66900193441,363.604562981335,322.682633159589,124.556565875377,496.4177474626,717.358188007463,88.8515435898017,466.846039472068
"133",2020-12-25,4726.23454847814,365.048176331042,324.514263370186,125.368432879949,511.568730125007,741.960232830378,88.9401811985059,478.897082598186
"134",2020-12-26,4789.76731433875,366.46277328693,326.319197588393,126.170165822224,527.127510031802,767.304086508072,89.025111445082,491.170808938045
"135",2020-12-27,4853.25547844556,367.848807224753,328.09762478731,126.961795325944,543.103410754026,793.40865554523,89.1064859985071,503.669091916282
"136",2020-12-28,4916.68740862402,369.206730707031,329.849741044743,127.743355841465,559.505924228269,820.293223277948,89.1844506075808,516.393774080286
"137",2020-12-29,4980.05166519723,370.536995116679,331.575749118138,128.514885483524,576.344712723752,847.977454574566,89.2591453078441,529.346666293348
"138",2020-12-30,5043.33700430678,371.840050311991,333.275858031814,129.27642587217,593.629610809554,876.481400528228,89.3307046233892,542.529546942455
"139",2020-12-31,5106.53238095881,373.116344302232,334.950282676454,130.028021976918,611.370627321438,905.825503139498,89.3992577634797,555.944161161187
"140",2021-01-01,5169.62695180089,374.366322943088,336.599243420762,130.769721964184,629.577947327752,936.03059998721,89.4649288139319,569.592220068171
"141",2021-01-02,5232.61007763589,375.590429651221,338.222965735201,131.501577048042,648.261934093905,967.117928885833,89.5278369232261,583.475400021535
"142",2021-01-03,5295.47132567889,376.789105137215,339.821679827686,132.223641344342,667.433131044853,999.109132527559,89.5880964833405,597.595341889787
"143",2021-01-04,5358.20047156344,377.962787156197,341.395620291124,132.93597172821,687.102263725064,1032.02626310725,89.6458173053198,611.953650339511
"144",2021-01-05,5420.78750110372,379.111910275423,342.945025762633,133.638627694964,707.280241755424,1065.89178692846,89.701104789604,626.55189314028
"145",2021-01-06,5483.22261181892,380.236905658156,344.470138594317,134.331671224447,727.978160786515,1100.72858898874,89.7540600911597,641.391600487152
"146",2021-01-07,5545.49621422664,381.338200863159,345.971204535404,135.015166648785,749.20730444772,1136.55997754222,89.8047802794682,656.474264341114
"147",2021-01-08,5607.59893291186,382.416219659149,347.448472425595,135.689180523584,770.979146291578,1173.40968863771,89.8533584934342,671.801337787793
"148",2021-01-09,5669.5216073783,383.471381853571,348.902193899421,136.353781502537,793.305351732838,1211.30189063046,89.8998840912922,687.374234414772
"149",2021-01-10,5731.25529268889,384.504103135082,350.332623101436,137.009040215455,816.197779981609,1250.26118866554,89.9444427955907,703.194327707811
"150",2021-01-11,5792.79125990217,385.514794929115,351.740016412028,137.655029149692,839.668485970065,1290.31262913099,89.9871168333454,719.262950466249
"151",2021-01-12,5854.12099631144,386.503864265971,353.124632183656,138.291822534941,863.729722272073,1331.48170407891,90.0279850714562,735.581394237869
"152",2021-01-13,5915.23620549342,387.471713660825,354.486730487303,138.919496231391,888.393941015198,1373.79435561239,90.067123147489,752.150908773472
"153",2021-01-14,5976.12880717328,388.418741005126,355.826572868914,139.538127621201,913.673795784477,1417.27698023638,90.1046035959255,768.972701501385
"154",2021-01-15,6036.7909369128,389.345339468837,357.144422115633,140.147795503265,939.582143517329,1461.95643317063,90.1404959699891,786.047937022138
"155",2021-01-16,6097.21494562832,390.251897412999,358.440542031581,140.748579991234,966.132046389085,1507.86003262263,90.174866959156,803.377736623487
"156",2021-01-17,6157.39339894525,391.138798312104,359.715197222979,141.340562414752,993.336773688413,1555.01556401857,90.2077805024632,820.963177815985
